"","Energy","Danceability","Acousticness","Speechiness","Loudness","Liveness","Instrumentalness","Valence","Tempo","country"
"1","0.6947","0.7435","0.22037138","0.13003","-5.68816","0.15248","0.008951866","0.55238","117.46892","Germany"
"2","0.67642","0.75718","0.259531","0.163958","-5.1523","0.145398","0.0028498982","0.63702","126.5816","Argentina"
"3","0.60698","0.71008","0.2423604","0.120222","-6.5838","0.17457","0.0129444248","0.4812","115.77284","Australia"
"4","0.69458","0.72662","0.21953938","0.142096","-5.72306","0.151834","0.005448654","0.560574","117.59764","Austria"
"5","0.57658","0.70926","0.366886","0.162706","-7.39114","0.16425","0.0060913096","0.45274","117.65972","Belgium"
"6","0.69334","0.7497","0.245735","0.14803","-4.6578","0.137008","0.002846734","0.67752","122.76056","Bolivia"
"7","0.7495","0.6878","0.396302","0.134028","-4.44962","0.443618","0.0001690326","0.67408","131.26428","Brazil"
"8","0.62664","0.7503","0.2053802","0.165462","-6.85394","0.147794","0.006594149","0.54024","121.1547","Bulgary"
"9","0.62994","0.74546","0.2033854","0.139058","-6.16886","0.16439","0.0060708012","0.49472","117.83074","Canada"
"10","0.63532","0.7076","0.2083828","0.114148","-6.99328","0.169674","0.0038513046","0.487974","120.49868","Czech Republic"
"11","0.69692","0.7645","0.25432","0.139018","-4.78134","0.13188","0.0050229276","0.58792","118.63476","Chile"
"12","0.69116","0.72736","0.2362356","0.139938","-4.6812","0.133818","0.002870694","0.67208","122.68246","Colombia"
"13","0.67714","0.75222","0.25833","0.148924","-5.02232","0.138824","0.0028889148","0.66706","117.32334","Costa Rica"
"14","0.63204","0.75006","0.1863498","0.13504","-6.23066","0.150464","0.0048919518","0.5286","117.88638","Denmark"
"15","0.68836","0.75188","0.2577976","0.138906","-4.72426","0.145204","0.002868221","0.67854","118.6565","Ecuador"
"16","0.68584","0.76078","0.2599556","0.13663","-4.9076","0.140288","0.002872295","0.66398","119.74164","El salvador"
"17","0.67686","0.70418","0.2576648","0.138482","-6.18356","0.193502","0.0060777274","0.480854","118.57982","Slovakia"
"18","0.66584","0.7616","0.2997616","0.1582","-5.16864","0.147086","0.0031933756","0.64282","118.76126","Spain"
"19","0.61056","0.7372","0.2273234","0.168882","-6.66496","0.165674","0.00607182","0.47412","120.0608","USA"
